raceId,driverId,constructorId,grid,positionOrder,points,statusId,year,round,circuitId,name,date,dob,nationality_driver,nationality_constructor,position,q1,q2,q3,country,alt,lat,lng,status,is_finished_only,driver_age,quali_position,q1_sec,q2_sec,q3_sec,quali_best_sec,has_quali,driver_races_before,constructor_races_before,driver_last_finish,driver_avg_finish_last5,driver_avg_points_last5,constructor_avg_finish_last5,constructor_avg_points_last5,driver_season_points_to_date,constructor_season_points_to_date,team_avg_finish_last5_teammates,team_avg_points_last5_teammates,team_avg_finish_last_year_same_track,driver_vs_team_finish_delta_last5,driver_vs_team_finish_ratio_last5,driver_vs_team_points_delta_last5,driver_vs_team_points_ratio_last5,race_name
1074,1,131,5,3,15.0,1,2022,1,3,Bahrain Grand Prix,2022-03-20,1985-01-07,British,German,5.0,1:32.285,1:31.048,1:31.238,Bahrain,7,26.0325,50.5106,Finished,True,37.19644079397673,5.0,92.285,91.048,91.238,91.048,1,288,516,2.0,1.4,22.4,6.4,13.4,0.0,0.0,12.4,0.7,2.0,0.0,0.99999992537314,0.0,0.6666655555574075,Bahrain Grand Prix
1074,4,214,8,9,2.0,1,2022,1,3,Bahrain Grand Prix,2022-03-20,1981-07-29,Spanish,French,8.0,1:32.346,1:31.621,1:32.195,Bahrain,7,26.0325,50.5106,Finished,True,40.64065708418891,8.0,92.346,91.621,92.195,91.621,1,336,44,8.0,8.4,4.6,7.8,5.6,0.0,0.0,12.4,0.7,16.0,0.0,0.99999992537314,0.0,0.6666655555574075,Bahrain Grand Prix
1074,807,117,17,17,0.0,1,2022,1,3,Bahrain Grand Prix,2022-03-20,1987-08-19,German,British,17.0,1:32.777,,,Bahrain,7,26.0325,50.5106,Finished,True,34.5845311430527,17.0,92.777,87.125,87.039,92.777,1,182,55,8.0,12.4,2.0,11.4,1.6,0.0,0.0,12.4,0.7,12.5,0.0,0.99999992537314,0.0,0.6666655555574075,Bahrain Grand Prix
1074,815,9,4,18,0.0,32,2022,1,3,Bahrain Grand Prix,2022-03-20,1990-01-26,Mexican,Austrian,4.0,1:32.311,1:31.008,1:30.921,Bahrain,7,26.0325,50.5106,Fuel pressure,False,32.145106091718,4.0,92.311,91.008,90.92099999999999,90.92099999999999,1,215,652,15.0,8.6,8.0,7.4,12.6,0.0,0.0,12.4,0.7,3.5,0.0,0.99999992537314,0.0,0.6666655555574075,Bahrain Grand Prix
1074,817,1,18,14,0.0,1,2022,1,3,Bahrain Grand Prix,2022-03-20,1989-07-01,Australian,British,18.0,1:32.945,,,Bahrain,7,26.0325,50.5106,Finished,True,32.71731690622861,18.0,92.945,87.125,87.039,92.945,1,210,1787,12.0,12.0,2.0,8.6,3.8,0.0,0.0,12.4,0.7,5.5,0.0,0.99999992537314,0.0,0.6666655555574075,Bahrain Grand Prix
1074,822,51,6,6,8.0,1,2022,1,3,Bahrain Grand Prix,2022-03-20,1989-08-28,Finnish,Swiss,6.0,1:31.919,1:31.717,1:31.560,Bahrain,7,26.0325,50.5106,Finished,True,32.558521560574945,6.0,91.919,91.717,91.56,91.56,1,179,363,6.0,9.4,7.6,15.0,0.4,0.0,0.0,12.4,0.7,11.5,0.0,0.99999992537314,0.0,0.6666655555574075,Bahrain Grand Prix
1074,825,210,7,5,10.0,1,2022,1,3,Bahrain Grand Prix,2022-03-20,1992-10-05,Danish,American,7.0,1:31.955,1:31.461,1:31.808,Bahrain,7,26.0325,50.5106,Finished,True,29.453798767967147,7.0,91.955,91.461,91.80799999999999,91.461,1,120,244,18.0,17.0,0.0,17.6,0.0,0.0,0.0,12.4,0.7,18.0,0.0,0.99999992537314,0.0,0.6666655555574075,Bahrain Grand Prix
1074,830,9,2,19,0.0,32,2022,1,3,Bahrain Grand Prix,2022-03-20,1997-09-30,Dutch,Austrian,2.0,1:31.785,1:30.757,1:30.681,Bahrain,7,26.0325,50.5106,Fuel pressure,False,24.468172484599588,2.0,91.785,90.757,90.681,90.681,1,141,653,1.0,1.6,21.2,10.6,8.8,0.0,0.0,12.4,0.7,3.5,0.0,0.99999992537314,0.0,0.6666655555574075,Bahrain Grand Prix
1074,832,6,3,2,18.0,1,2022,1,3,Bahrain Grand Prix,2022-03-20,1994-09-01,Spanish,Italian,3.0,1:31.567,1:30.787,1:30.687,Bahrain,7,26.0325,50.5106,Finished,True,27.548254620123203,3.0,91.56700000000001,90.787,90.687,90.687,1,141,2303,3.0,6.0,8.2,7.2,6.0,0.0,0.0,12.4,0.7,7.0,0.0,0.99999992537314,0.0,0.6666655555574075,Bahrain Grand Prix
1074,839,214,11,7,6.0,1,2022,1,3,Bahrain Grand Prix,2022-03-20,1996-09-17,French,French,11.0,1:32.041,1:31.782,,Bahrain,7,26.0325,50.5106,Finished,True,25.503080082135522,11.0,92.041,91.782,87.039,91.782,1,89,45,9.0,7.8,5.6,8.6,4.0,0.0,2.0,12.4,0.7,16.0,0.0,0.99999992537314,0.0,0.6666655555574075,Bahrain Grand Prix
1074,840,117,19,12,0.0,1,2022,1,3,Bahrain Grand Prix,2022-03-20,1998-10-29,Canadian,British,19.0,1:33.032,,,Bahrain,7,26.0325,50.5106,Finished,True,23.38945927446954,19.0,93.032,87.125,87.039,93.032,1,100,56,13.0,12.8,1.6,13.6,0.0,0.0,0.0,12.4,0.7,12.5,0.0,0.99999992537314,0.0,0.6666655555574075,Bahrain Grand Prix
1074,842,213,10,20,0.0,131,2022,1,3,Bahrain Grand Prix,2022-03-20,1996-02-07,French,Italian,10.0,1:32.096,1:31.635,1:32.338,Bahrain,7,26.0325,50.5106,Power Unit,False,26.11362080766598,10.0,92.096,91.635,92.338,91.635,1,86,78,5.0,6.6,7.2,8.4,6.0,0.0,0.0,12.4,0.7,13.0,0.0,0.99999992537314,0.0,0.6666655555574075,Bahrain Grand Prix
